Project,Title,Agreement Date,Start Date Planned,Start Date Actual,End Date Planned,End Date Actual,Year,Sector,Focus Area,Zone,State,LGA,Funding Source,Funding Agencies,Implementer,Project Cost (USD),Committed (USD),Disbursed (USD),Autocoder ADM2 Geonames Matches,Autocoder ADM1 Geonames Matches,Autocoder Country Geonames Match
NGA/000100,"Support to the Office of the National Authorising Officer, Phase III",07/03/2011,08/03/2011,,08/03/2017,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016; 2017,Government; Media; Contingency,  Unspecified; Capacity Building in Government,North Central ,"Federal Capital Territory, Abuja",AbujaMun,European Commission,European Commission, Unspecified,"4,500,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000101,NGAT52 - Improving the Nigeria Prison Service adherence to international standards in the treatment of prisoners through human resource development,27/03/2009,27/11/2009,27/11/2009,31/07/2011,31/07/2011,2009; 2010; 2011,Government; Contingency; Administrative Cost,  Unspecified; Capacity Building in Government,North Central ; South Western; South South,"Federal Capital Territory, Abuja; Lagos; Rivers",  Unspecified; Kuje,UK Government,UK Government,United Nations Office on Drugs & Crime (UNODC),"530,995","522,277",,"'Kuje', '8634971'","'Lagos State', '2332453'; 'Rivers State', '2324433'","'Federal Republic of Nigeria', '2328926'"
NGA/000104,NGAX28 Enhancing multi-stakeholder cooperation to fight human trafficking in countries of origin and destination,,03/05/2011,,01/08/2012,,2011; 2012,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,European Commission; France; UK Government; Austria,European Commission; France; UK Government; Austria,United Nations Office on Drugs & Crime (UNODC),"4,302,360","919,824","722,036",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000105,NIRG50 Partnership for Drug Abuse and HIV/AIDS Prevention in Nigeria,,15/01/2003,15/01/2003,31/05/2008,31/05/2008,2003; 2004; 2005; 2006; 2007; 2008,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Netherlands; Switzerland; Sweden,Netherlands; Switzerland; Sweden,United Nations Office on Drugs & Crime (UNODC),"3,150,609","1,050,203","1,050,203",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000106,NIRI24 Upgrading of the NDLEA Jos Training Academy to a regional law enforcement training centre (phase II),,24/08/2005,24/08/2005,31/07/2007,31/07/2007, Unplanned; 2005; 2006; 2007,Government,Technical and Institutional Support,North Central ,Plateau,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC),United Nations Office on Drugs & Crime (UNODC),"899,277",,,,"'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000109,NIRF22 Strengthening treatment and rehabilitation services offered by Government and NGOs,,01/01/2002,01/01/2002,31/12/2005,31/12/2005,2002; 2003; 2004; 2005,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Switzerland; Sweden,Switzerland; Sweden,United Nations Office on Drugs & Crime (UNODC),"922,048","460,352","460,352",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000110,"NIRF16 Operational Project, Nigeria",,03/03/1999,03/03/1999,31/12/2000,31/12/2000, Unplanned; 1999; 2000,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC),United Nations Office on Drugs & Crime (UNODC),"16,500","16,500","16,499",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000111,00069951 Support to Strengthen State Public Accountability in Nigeria,,01/01/2009,01/01/2009,31/12/2012,, Unplanned; 2009; 2010; 2011; 2012,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations; Norway,UNDP; Norway,UNDP,"14,000,000","7,000,000",,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000112,00069950 Support to Strengthen Federal Public Accountability in Nigeria,,01/01/2009,01/01/2009,31/12/2012,, Unplanned; 2009; 2010; 2011; 2012,Government,Anticorruption Enforcement,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,UNDP,"2,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000113,NGAT18 - Preventing and Combating Trafficking of Minors and Young Women from Nigeria to Italy,01/01/2008,01/01/2008,01/01/2008,01/03/2010,01/03/2010,2008,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC), Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000114,NAPTIP/ADAM-N/002 -Child Labour/ Domestic Servitude (House-Help) syndrome in FCT and its Environs,29/06/2009,29/06/2009,29/06/2009,03/07/2009,03/07/2009,2009,Administrative Cost,  Unspecified,North Central ,"Federal Capital Territory, Abuja",AbujaMun,United Nations,United Nations Office on Drugs & Crime (UNODC), Unspecified,"3,280",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000115,NAPTIP/ADAM-N/001 - Drama series/Soap Opera to Expose in Graphic Details the Horrors of Human Trafficking and Child labour/Abuse,16/09/2010,16/09/2010,16/09/2010,16/09/2011,16/09/2011,2010; 2011,Administrative Cost,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC), Unspecified,"360,129",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000116,NIR963 The first step - assistance to the secretariat of the master plan committee,,01/01/1995,01/01/1995,31/12/1997,31/12/1997,1995; 1996; 1997,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC),United Nations Office on Drugs & Crime (UNODC),"43,781",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000117,NIR898 Development of drug demand reduction programme for Nigeria,,01/06/1994,01/06/1994,31/12/1996,31/12/1996,1994; 1995; 1996,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Sweden,Sweden,United Nations Office on Drugs & Crime (UNODC),"63,295","63,295","63,295",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000118,"NIR882 - Talking about Drugs, Nigeria",01/05/1994,01/05/1994,01/05/1994,31/12/1995,31/12/1995,1994; 1995,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,UK Government,UK Government,United Nations Office on Drugs & Crime (UNODC),"44,389",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000119,NIR496 Reduction of illicit demand for narcotic drugs and psychotropic substances,,01/01/1990,01/01/1990,31/12/1998,31/12/1998,1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),"476,322","476,322","476,322",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000120,NIRE72 - Drug abuse prevention for street children and commercial sex workers,04/02/2000,04/02/2000,04/02/2000,31/12/2002,31/12/2002,2000; 2001; 2002,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Italy,Italy,United Nations Office on Drugs & Crime (UNODC),"129,929",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000121,NIR486 Assistance in drug abuse control with emphasis on demand reduction,,01/01/1988,01/01/1988,31/12/1996,31/12/1996,1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Italy,Italy,United Nations Office on Drugs & Crime (UNODC),"306,811","306,811","306,811",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000122,NIR535 Assistance in drug law enforcement,,01/06/1991,01/06/1991,31/12/1998,31/12/1998,1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations; UK Government,United Nations Office on Drugs & Crime (UNODC); UK Government,United Nations Office on Drugs & Crime (UNODC),"1,595,944","797,972","797,972",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000123,NIRR16 - Judicial integrity extension in Nigeria,01/01/2003,01/01/2003,01/01/2003,31/12/2004,31/12/2004,2003; 2004,Government,Anticorruption Enforcement,  Unspecified,  Unspecified,  Unspecified,Netherlands,Netherlands,United Nations Office on Drugs & Crime (UNODC),"287,972","282,586",,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000124,NGAS91 - Modernising the Detainee File Management System in Nigerian Prisons,01/01/2007,01/01/2007,01/01/2007,31/12/2009,31/12/2009,2007; 2008; 2009,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC), Unspecified,"600,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000125,"NGAJ46 - Prevention, Care and Treatment of HIV/AIDS in Nigerian Prisons Service",01/01/2007,01/01/2007,01/01/2007,31/12/2010,31/12/2010,2007; 2008; 2009; 2010,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC), Unspecified,"1,994,450",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000126,Support to Reforming Institutions Programme Phase II (SRIP II),18/10/2007,01/01/2009,01/01/2009,31/12/2012,31/12/2012,2009; 2010; 2011; 2012,Finance,  Unspecified,North Eastern ; North Western; South Eastern; South Western; South South,Anambra; Cross River; Jigawa; Kano; Osun; Yobe,  Unspecified,European Commission,European Commission,GoN,"29,400,000","29,400,000",,,"'Anambra State', '2349961'; 'Cross River State', '2345891'; 'Jigawa State', '2565345'; 'Kano State', '2335196'; 'Osun State', '2597365'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000128,Support to the Economic and Financial Crimes Commission and the Judiciary,07/10/2005,07/10/2005,07/10/2005,07/11/2010,30/11/2011, Unplanned; 2005; 2006; 2007; 2008; 2009; 2010; 2011,Government;  Unallocated, Unallocated; Support to EFCC,  Unspecified,  Unspecified,  Unspecified,United Nations,United Nations Office on Drugs & Crime (UNODC),United Nations Office on Drugs & Crime (UNODC),"29,154,908","832,838",,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000129,Support to the Office of the NAO II,20/09/2007,19/03/2008,,31/12/2011,, Unplanned; 2008; 2009; 2010; 2011,Government,Capacity Building in Government,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission, Unspecified,"4,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000131,Increasing Non State Actors Implementation and Development Expertise (INSIDE),26/09/2007,26/09/2007,,30/06/2014,, Unplanned; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,Civil Society ,  Unspecified,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission, Unspecified,"25,513,458",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000132,Technical Cooperation Fund II,25/06/2007,25/06/2007,,30/04/2011,, Unplanned; 2007; 2008; 2009; 2010; 2011,Government,Administrative Management,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission, Unspecified,"5,102,691,670",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000133,Partnership to Reinforce Immunisation Efficiency (PRIME),12/11/2001,12/11/2001,,30/06/2009,, Unplanned; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009,Health,Immunisation,North Eastern ; North Western; North Central ; South Eastern; South Western; South South,"Abia; Akwa Ibom; Anambra; Bauchi; Cross River; Ebonyi; Edo; Federal Capital Territory, Abuja; Gombe; Jigawa; Kaduna; Katsina; Kebbi; Kogi; Kwara; Lagos; Ogun; Osun; Plateau; Rivers; Sokoto; Yobe; Zamfara",  Unspecified,European Commission,European Commission,Ministry of Health,"95,163,654",,,,"'Abia State', '2565340'; 'Akwa Ibom State', '2350813'; 'Anambra State', '2349961'; 'Bauchi State', '2347468'; 'Cross River State', '2345891'; 'Ebonyi State', '2595345'; 'Edo', '2565343'; 'Gombe State', '2595347'; 'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Katsina State', '2334797'; 'Kebbi State', '2597363'; 'Kogi State', '2597364'; 'Kwara State', '2332785'; 'Lagos State', '2332453'; 'Ogun State', '2327546'; 'Osun State', '2597365'; 'Plateau State', '2324828'; 'Rivers State', '2324433'; 'Sokoto State', '2322907'; 'Yobe State', '2597367'; 'Zamfara State', '2595349'","'Federal Republic of Nigeria', '2328926'"
NGA/000134,Support to Routine Immunisation in Kano (SRIK),03/08/2006,03/08/2006,,31/07/2011,31/07/2013, Unplanned; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013,Health,Immunisation,North Western,Kano,  Unspecified,European Commission,European Commission, Unspecified,"19,721,903",,,,"'Kano State', '2335196'","'Federal Republic of Nigeria', '2328926'"
NGA/000135,Closing the Gap: Improving Water Supply and Sanitation Provisions for Small Towns in Nigeria,04/09/2007,14/09/2007,,13/03/2014,, Unplanned; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,Poverty Alleviation,Water and Sanitation,North Western; South Eastern,Enugu; Jigawa,  Unspecified,European Commission,European Commission, Unspecified,"4,975,232",,,,"'Enugu State', '2565344'; 'Jigawa State', '2565345'","'Federal Republic of Nigeria', '2328926'"
NGA/000136,Water Supply and Sanitation Sector Reform Programme (WSSRP),23/12/2004,23/12/2004,07/07/2005,31/07/2011,, Unplanned; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011,Poverty Alleviation,Water and Sanitation,North Eastern ; North Western; South Eastern; South Western; South South,Anambra; Cross River; Jigawa; Kano; Osun; Yobe,  Unspecified,European Commission,European Commission, Unspecified,"106,188,209",,,,"'Anambra State', '2349961'; 'Cross River State', '2345891'; 'Jigawa State', '2565345'; 'Kano State', '2335196'; 'Osun State', '2597365'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000137,Micro Project Programme in Nine Niger Delta States and Integrated Community Development Initiative (MPP9),12/08/2008,12/08/2008,,31/12/2015,,2008,Poverty Alleviation,Microprojects in the Niger Data,South Eastern; South Western; South South,Abia; Akwa Ibom; Bayelsa; Cross River; Delta; Edo; Imo; Ondo; Rivers,  Unspecified,European Commission,European Commission, Unspecified,,,,,"'Abia State', '2565340'; 'Akwa Ibom State', '2350813'; 'Bayelsa State', '2595344'; 'Cross River State', '2345891'; 'Delta State', '2565341'; 'Edo', '2565343'; 'Imo State', '2337542'; 'Ondo State', '2326168'; 'Rivers State', '2324433'","'Federal Republic of Nigeria', '2328926'"
NGA/000138,Integrated Mangrove Forest Management Initiative,12/03/2008,04/03/2008,,04/12/2013,, Unplanned; 2008; 2009; 2010; 2011; 2012; 2013,Energy and Environment,  Unspecified,South South,Cross River,Akpabuyo; Bakassi; Calabar; Calabar South; Odukpani,European Commission,European Commission, Unspecified,"1,119,377",,,"'Akpabuyo', '8638552'; 'Bakassi', '9172954'; 'Calabar South', '8638551'; 'Odukpani', '8638549'","'Cross River State', '2345891'","'Federal Republic of Nigeria', '2328926'"
NGA/000139,Sustainable Utilisation of Nigeria’s Gas and Renewable Energy Resources,20/12/2008,01/04/2009,01/04/2009,31/03/2014,31/03/2014, Unplanned; 2009; 2010; 2011; 2012; 2013; 2014,Energy and Environment,Energy Efficiency and Cleaner Production Techniques,South South,Bayelsa; Rivers,  Unspecified,European Commission,European Commission, Unspecified,"2,297,752",,,,"'Bayelsa State', '2595344'; 'Rivers State', '2324433'","'Federal Republic of Nigeria', '2328926'"
NGA/000140,"Strengthening Country Capacity to Scale up national efforts towards Universal Access to HIV/AIDS Prevention, Care and Treatment",29/12/2009,01/01/2010,,01/01/2013,, Unplanned; 2010; 2011; 2012; 2013,Government; Health,HIV/AIDS; Capacity Building in Government,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission, Unspecified,"2,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000141,"Emergency Obstetric Care and Vaginal Fistulae, Jigawa State Nigeria",12/12/2010,01/02/2011,,31/12/2013,, Unplanned; 2011; 2012; 2013,Health,Maternal Health,North Western,Jigawa,Jahun; Miga,European Commission,European Commission, Unspecified,"1,502,733",,,"'Jahun', '8634251'; 'Miga', '8634250'","'Jigawa State', '2565345'","'Federal Republic of Nigeria', '2328926'"
NGA/000142,Building civil society capacity for advocacy on Sexual and Reproductive Health and Rights in Nigeria,08/12/2009,01/02/2010,,31/01/2013,, Unplanned; 2010; 2011; 2012; 2013,Civil Society ,  Unspecified,North Eastern ; North Central ; South Eastern; South Western; South South,Abia; Adamawa; Akwa Ibom; Bauchi; Cross River; Edo; Kogi; Ogun; Ondo; Rivers,  Unspecified,European Commission,European Commission, Unspecified,"1,107,596",,,,"'Abia State', '2565340'; 'Adamawa State', '2565342'; 'Akwa Ibom State', '2350813'; 'Bauchi State', '2347468'; 'Cross River State', '2345891'; 'Edo', '2565343'; 'Kogi State', '2597364'; 'Ogun State', '2327546'; 'Ondo State', '2326168'; 'Rivers State', '2324433'","'Federal Republic of Nigeria', '2328926'"
NGA/000143,Enhancing Essential Sexual Reproductive Health and HIV/AIDS care in post conflict and Internally Displaced Persons Communities in Nigeria,28/12/2007,01/06/2008,,01/06/2012,, Unplanned; 2008; 2009; 2010; 2011; 2012,Health,HIV/AIDS,North Central ; South South,Bayelsa; Cross River; Delta; Nasarawa; Plateau; Rivers,  Unspecified,European Commission,European Commission,Action Aid Nigeria,"2,002,239",,,,"'Bayelsa State', '2595344'; 'Cross River State', '2345891'; 'Delta State', '2565341'; 'Nasarawa State', '2595348'; 'Plateau State', '2324828'; 'Rivers State', '2324433'","'Federal Republic of Nigeria', '2328926'"
NGA/000144,Promoting better management of migration in Nigeria,07/03/2010,07/03/2010,,07/03/2016,, Unplanned; 2010; 2011; 2012; 2013; 2014; 2015; 2016,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission,International Organization for Migration (IOM); United Nations Office on Drugs & Crime (UNODC),"20,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000145,Enhancing the cooperation to fight trafficking in human beings from Nigeria to Europe,30/12/2008,01/03/2009,01/09/2009,28/03/2011,31/08/2012, Unplanned; 2009; 2010; 2011; 2012,Government,Technical and Institutional Support,North Central ; South South,"Edo; Federal Capital Territory, Abuja",  Unspecified,European Commission,European Commission,International Labour Organisation (ILO),"1,010,908",,,,"'Edo', '2565343'","'Federal Republic of Nigeria', '2328926'"
NGA/000146,Enhancing multi-stakeholder cooperation to fight human trafficking in the countries of origin and destination,28/11/2010,01/02/2011,,01/08/2012,,2011,Combating Human Trafficking,  Unspecified,North Central ; South Western; South South,"Edo; Federal Capital Territory, Abuja; Lagos",  Unspecified,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),,,,,"'Edo', '2565343'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000147,"Local Governance: Participation, Collaboration & Transparency (LG PACT)",29/12/2008,30/12/2008,,30/06/2015,, Unplanned; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,Government,Capacity Building in Government,South South,Cross River,Abi; Biase; Obanliku,European Commission,European Commission, Unspecified,"896,801",,,"'Abi', '7932502'; 'Biase', '8638547'; 'Obanliku', '8638544'","'Cross River State', '2345891'","'Federal Republic of Nigeria', '2328926'"
NGA/000148,"United Nations Convention against Torture: Promotion and Implementation, for its Full Enjoyment by the Nigerian Civil Society",31/12/2008,01/03/2009,,29/02/2012,, Unplanned; 2009; 2010; 2011; 2012,Human Rights,  Unspecified,North Western; North Central ; South Western,Kaduna; Lagos; Plateau,  Unspecified,European Commission,European Commission, Unspecified,"479,714",,,,"'Kaduna State', '2335722'; 'Lagos State', '2332453'; 'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000149,Cross River State Rural Water Supply and Sanitation Project,30/12/2005,30/12/2005,,31/12/2010,, Unplanned; 2005; 2006; 2007; 2008; 2009; 2010,Poverty Alleviation,Water and Sanitation,South South,Cross River,Bekwarra; Etung; Obanliku; Obubra,European Commission,European Commission, Unspecified,"847,443",,,"'Bekwarra', '8638542'; 'Etung', '8638545'; 'Obanliku', '8638544'; 'Obubra', '7932501'","'Cross River State', '2345891'","'Federal Republic of Nigeria', '2328926'"
NGA/000150,Building Civil Society Organisations and Local government capacity to contribute to the achivements of the Water and Sanitation MDGs in Nigeria (State,30/12/2008,01/04/2009,,30/12/2012,, Unplanned; 2009; 2010; 2011; 2012,Government; Poverty Alleviation; Civil Society ,  Unspecified; Water and Sanitation; Capacity Building in Government,North Eastern ; North Central ,Bauchi; Plateau,  Unspecified,European Commission,European Commission, Unspecified,"899,463",,,,"'Bauchi State', '2347468'; 'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000151,Sustainable water and sanitation Hygiene Project (WASH),29/12/2008,01/05/2009,,30/04/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Poverty Alleviation,Water and Sanitation,South Eastern; South South,Cross River; Ebonyi,  Unspecified,European Commission,European Commission, Unspecified,"863,126",,,,"'Cross River State', '2345891'; 'Ebonyi State', '2595345'","'Federal Republic of Nigeria', '2328926'"
NGA/000152,Improving Primary Health Care for Rural Poor Communities in Northern Nigeria,22/12/2006,01/02/2007,,31/01/2011,, Unplanned; 2007; 2008; 2009; 2010; 2011,Health,  Unspecified,North Eastern ; North Western; North Central ,"Adamawa; Bauchi; Benue; Borno; Federal Capital Territory, Abuja; Gombe; Jigawa; Kaduna; Kano; Katsina; Kebbi; Kogi; Kwara; Nasarawa; Niger; Plateau; Sokoto; Taraba; Yobe; Zamfara",  Unspecified,European Commission,European Commission, Unspecified,"935,778",,,,"'Adamawa State', '2565342'; 'Bauchi State', '2347468'; 'Benue State', '2347266'; 'Borno State', '2346794'; 'Gombe State', '2595347'; 'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Katsina State', '2334797'; 'Kebbi State', '2597363'; 'Kogi State', '2597364'; 'Kwara State', '2332785'; 'Nasarawa State', '2595348'; 'Niger State', '2328925'; 'Plateau State', '2324828'; 'Sokoto State', '2322907'; 'Taraba State', '2597366'; 'Yobe State', '2597367'; 'Zamfara State', '2595349'","'Federal Republic of Nigeria', '2328926'"
NGA/000153,Technical Cooperation Facility (10th EDF),20/07/2010,27/05/2004,,20/07/2016,, Unplanned; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Government,Administrative Management,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission, Unspecified,"9,721,716",,,,,"'Federal Republic of Nigeria', '2328926'"
