Projet,Titre du projet,Descriptif,Année,Date d'Approbation Prévue,Date de Début Prévue,Date de Fin Prévue,Date d'Approbation Effective,Date de Début Effective,Date de Fin Effective,Agence de financement,Source de Financement,Agence d'Exécution (1er Niveau),Coût du Projet (USD),Engagement de GdB (USD),Décaissement du GdB (USD),Région,Province,Commune,A l’Echelle National,Secteur,Sous-Secteur,ADM2 Geonames Matches,ADM1 Geonames Matches,Country Geonames Match
BDI/000012,Gender-based Violence and Response,,Imprévu; 2011; 2012,,,2012-08-31,2011-01-07,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"500,000",,,Sud,Makamba,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Organisations et institutions pour l’égalité des femmes,,"'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000013,Health Care Support and Nutrition,,Imprévu; 2011; 2012,,,2012-07-31,2011-01-07,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"500,000",,,Sud,Rutana; Bururi; Makamba,Non spécifié,Non,SANTE,Nutrition de base,,"'Rutana Province', 434147; 'Bururi Province', 423327; 'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000014,Mise en oeuvre le PNA 1325,,Imprévu; 2012; 2013; 2014,,,2014-12-31,,2012-01-05,,Pays Bas,Pays-Bas,Agence d'Exécution de 1er Niveau non défini,"1,700,102",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Prévention et règlement des conflits, paix et sécurité",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000015,"Shelter, Sanitation and Food Production",,Imprévu; 2011; 2012,,,2012-06-30,2011-01-06,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"670,000",,,Sud,Rutana,Non spécifié,Non,SANTE,"Santé, général",,"'Rutana Province', 434147","'Republic of Burundi', 433561"
BDI/000016,"Food Security, Education and Environment",,Imprévu; 2011; 2012,,,2012-07-31,2011-01-08,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"860,000",,,Centre-Est,Ruyigi,Non spécifié,Non,DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,Éducation et formation environnementales,,"'Ruyigi Province', 426699","'Republic of Burundi', 433561"
BDI/000017,Education and Livelihood Project,,Imprévu; 2010; 2011,,,2011-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"1,300,000",,,Sud,Makamba,Non spécifié,Non,EDUCATION,Éducation pour une meilleure qualité de vie pour les jeunes et les adultes,,"'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000018,Access to Basic Education,,Imprévu; 2010; 2011,,,2011-08-31,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"670,000",,,Sud,Bururi; Makamba,Non spécifié,Non,EDUCATION,Éducation de base,,"'Bururi Province', 423327; 'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000019,Health Promotion,,Imprévu; 2010; 2011,,,2011-07-30,2010-02-08,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"1,100,000",,,Centre-Est,Ruyigi,Non spécifié,Non,SANTE,Politique de la santé et gestion administrative,,"'Ruyigi Province', 426699","'Republic of Burundi', 433561"
BDI/000020,Resettlement Assistance,,Imprévu; 2010; 2011,,,2011-06-30,2010-01-07,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"730,000",,,Sud,Rutana,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Rutana Province', 434147","'Republic of Burundi', 433561"
BDI/000021,Sustainable reintegration,,Imprévu; 2010; 2011,,,2011-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"800,000",,,Sud,Makamba,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000022,Fruit Processing,,Imprévu; 2011; 2012; 2013,,,2014-09-30,2011-01-08,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"230,000",,,Ouest,Bujumbura Rural,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000023,MicroFinance (CECM),,Imprévu; 2008; 2011; 2012; 2013,,,2013-09-30,2008-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"240,000",,,Ouest,Mairie de Bujumbura,Non spécifié,Non,CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES,En faveur des ONG nationales,,,"'Republic of Burundi', 433561"
BDI/000024,Agro-Processing,,Imprévu; 2009; 2011,,,2011-09-30,2009-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"190,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AGRICULTURE,Développement agricole,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000025,Agricultural Production (AVIDEL),,Imprévu; 2009; 2011,,,2011-09-30,2009-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"80,000",,,Ouest,Muramvya,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Muramvya Province', 425550","'Republic of Burundi', 433561"
BDI/000026,Legal Rights for Street Children,,Imprévu; 2009; 2011; 2012,,,2012-09-30,2012-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"100,000",,,Ouest,Mairie de Bujumbura,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,,"'Republic of Burundi', 433561"
BDI/000027,Intergroupement Ishaka,,Imprévu; 2009; 2011,,,2011-09-30,2009-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"70,000",,,Ouest,Bujumbura Rural,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000028,Pineapple Production,,Imprévu; 2010; 2011; 2012,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"80,000",,,Nord,Muyinga,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Muyinga Province', 431747","'Republic of Burundi', 433561"
BDI/000029,Femmes Pour la Paix,,Imprévu; 2010; 2011; 2012,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"80,000",,,Ouest,Bujumbura Rural,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000030,Gwizumwimbu ASBL,,Imprévu; 2010; 2011; 2012,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"90,000",,,Nord,Ngozi,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Ngozi Province', 430567","'Republic of Burundi', 433561"
BDI/000031,Rice Production,,Imprévu; 2010; 2011; 2012,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"80,000",,,Nord,Ngozi,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Ngozi Province', 430567","'Republic of Burundi', 433561"
BDI/000032,Agro-Biotechnology,,Imprévu; 2010; 2011; 2012; 2013,,,2013-09-30,2010-01-01,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"210,000",,,Ouest,Bujumbura Rural,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000033,Potatoes and Milk Production,,Imprévu; 2010; 2011; 2012,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"60,000",,,Sud,Mwaro,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Province de Mwaro', 434386","'Republic of Burundi', 433561"
BDI/000034,Contribution à l'allègement de la flambée des prix des denrées alimentaires par l'amélioration des capacités de production des associations exploitant les périmètres irrigués de l'Imbo.,,Imprévu; 2009; 2011,,,2011-05-31,,2009-01-05,,Commission de l'Union Européenne,Commission de l'Union Européenne,Agence d'Exécution de 1er Niveau non défini,"7,348,513",,,Ouest,Bubanza; Bujumbura Rural,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Bubanza Province', 428514; 'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000035,Assistance to the restoration of food security and livelihoods through the provision,,Imprévu; 2010; 2011,,,2011-03-31,,2010-02-03,,Japon,Japon,Agence d'Exécution de 1er Niveau non défini,"1,900,000",,,Centre-Est,Ruyigi,Non spécifié,Non,AIDE HUMANITAIRE,Intervention d’urgence,,"'Ruyigi Province', 426699","'Republic of Burundi', 433561"
BDI/000036,Appui à la mise en place et l'adoption rapide du système de certification de semences par les producteurs privés les organisations paysannes agricoles(OPA),,Imprévu; 2010; 2011,,,2011-06-30,,2010-02-12,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"679,418",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AGRICULTURE,Produits à usage agricole,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000038,Support des ménages vulnérables pour améliorer leurs moyens d'existence et renforcement institutionnel de la surveillance de la sécurité alimentaire au Burundi.,,Imprévu; 2011; 2012,,,2011-04-30,,2010-02-04,,Commission de l'Union Européenne,Commission de l'Union Européenne,Agence d'Exécution de 1er Niveau non défini,"1,245,100",,,Nord,Muyinga; Ngozi; Kirundo,Non spécifié,Non,AIDE HUMANITAIRE,Prévention des catastrophes et préparation à leur survenue,,"'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Kirundo Province', 432455","'Republic of Burundi', 433561"
BDI/000039,"Autonomisation agro-économique des ménages vulnérables dans les provinces de Bujumbura Rural, Bururi, Makamba, Rutana, Gitega et Mwaro.",,Imprévu; 2011; 2012; 2013,2011-01-03,2011-01-04,2013-12-31,2011-01-03,2011-02-05,2013-12-31,Sida,Suède,Organisation des Nations Unies pour l'alimentation et l'agriculture,"2,000,000",,,Sud; Ouest; Centre-Est,Rutana; Mwaro; Bujumbura Rural; Bururi; Makamba; Gitega,Non spécifié,Non,AGRICULTURE,Développement agricole,,"'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Bujumbura Rural Province', 7303940; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000040,Adresser la problématique du VIH et des inégalités de genre par une réponse de sécurité alimentaire et de nutrition en Afrique centrale et de l'Est.,,Imprévu; 2010; 2012,2010-05-01,2010-05-07,2012-06-30,2010-09-03,2010-02-07,2012-06-30,Ministère des affaires étrangères de la Suède,Suède,Organisation des Nations Unies pour l'alimentation et l'agriculture,"2,863,192",,,Sud; Ouest; Centre-Est; Nord,Ngozi; Mairie de Bujumbura; Bururi; Gitega,Non spécifié,Non,AIDE HUMANITAIRE,Aide alimentaire d’urgence,,"'Ngozi Province', 430567; 'Bururi Province', 423327; 'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000041,Programme LRRD d'appui à la viabilisation des villages ruraux intégrés dans le cadre du rapatriement et de la réintégration au Burundi,"contribute to unblock the political stalemate in Burundi, avoiding regression into the upcoming political and humanitarian crisis, engendering sufficient trust between the main political parties.",Imprévu; 2010; 2012; 2013; 2014,2010-01-09,2010-02-08,2013-05-31,2010-01-09,2010-02-08,2014-05-31,Commission de l'Union Européenne,Commission de l'Union Européenne,Agence d'Exécution de 1er Niveau non défini,"7,781,605",,,Sud,Rutana; Bururi; Makamba,Non spécifié,Non,CONSTRUCTION,Politique de la construction et gestion administrative,,"'Rutana Province', 434147; 'Bururi Province', 423327; 'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000042,Appui à la réinsertion des populations vulnérables rapatriés des provinces du Sud du Burundi en vue de reprendre les activités agricoles,,Imprévu; 2011; 2012; 2013,2011-06-09,2011-03-10,2012-10-31,2011-06-09,2011-03-10,2012-10-31,Austrarian Foreign Ministry,Australie,Organisation des Nations Unies pour l'alimentation et l'agriculture,"200,000",,,Sud,Makamba,Non spécifié,Non,AGRICULTURE,Développement agricole,,"'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000043,Disaster Preparedness for Food Security Risks in the Great Lakes Region Improving responses to the threat of banana diseases.,,Imprévu; 2011; 2012; 2013,2011-07-22,2011-02-08,2012-06-30,2011-07-22,2011-02-08,2013-06-30,Belgique,Belgique,Organisation des Nations Unies pour l'alimentation et l'agriculture,"200,000",,,Sud; Centre-Est,Cankuzo; Rutana; Ruyigi; Makamba,Non spécifié,Non,AIDE HUMANITAIRE,Aide alimentaire d’urgence,,"'Cankuzo Province', 427700; 'Rutana Province', 434147; 'Ruyigi Province', 426699; 'Makamba Province', 422233","'Republic of Burundi', 433561"
BDI/000044,"Assistance agricole aux rapatriés récents, aux ménages vulnérabilisés par les perturbations climatiques et aux personnes déplacées dans les zones périurbaines touchées par la flambée des prix et l'accès limité à la terre.",,Imprévu; 2010; 2011,,,2011-06-30,,2010-02-06,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"1,400,000",,,Ouest; Centre-Est; Nord,Ngozi; Mairie de Bujumbura; Gitega,Non spécifié,Non,AGRICULTURE,Services agricoles,,"'Ngozi Province', 430567; 'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000045,Rice & Potato Production,,Imprévu; 2009; 2011,,,,2009-01-09,,2011-09-30,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"90,000",,,Ouest,Bujumbura Rural,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000046,Emergency Feeding Program,,Imprévu; 2010; 2011; 2012,,,2012-01-31,2010-01-11,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"10,800,000",,,Centre-Est; Nord,Muyinga; Kirundo; Ruyigi; Karuzi,Non spécifié,Non,AIDE HUMANITAIRE,Aide alimentaire d’urgence,,"'Muyinga Province', 431747; 'Kirundo Province', 432455; 'Ruyigi Province', 426699; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000047,Food AID Nutrition Enhancement (FANEP),,Imprévu; 2010; 2011; 2012; 2013,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"1,000,000",,,Nord,Muyinga,Non spécifié,Non,AIDE HUMANITAIRE,Intervention d’urgence,,"'Muyinga Province', 431747","'Republic of Burundi', 433561"
BDI/000048,Projet Education-Enfants en difficulté,,Imprévu; 2001; 2010; 2011; 2012,,,2012-12-31,2001-02-01,2001-02-01,,PRIVE,Privé,Agence d'Exécution de 1er Niveau non défini,"86,337",,,Nord,Ngozi; Kirundo,Non spécifié,Non,EDUCATION,Éducation de la petite enfance,,"'Ngozi Province', 430567; 'Kirundo Province', 432455","'Republic of Burundi', 433561"
BDI/000049,Lentil Food Supplementation,,Imprévu; 2010; 2011,,,2011-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"320,000",,,Nord,Kirundo,Non spécifié,Non,AIDE HUMANITAIRE,Aide alimentaire d’urgence,,"'Kirundo Province', 432455","'Republic of Burundi', 433561"
BDI/000050,Appui à l'Education nationale,,Imprévu; 2007; 2010; 2011; 2012,,,2011-07-31,2007-03-09,2010-02-01,,DENMARK Ministry of Foreign Affairs; Ministère des affaires Etrangères Italiennes; Ministère des Affaires Etrangères Japonaises,Danemark; Italie; Japon,Agence d'Exécution de 1er Niveau non défini,"1,252,353",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,EDUCATION,Politique de l’éducation et gestion administrative,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
